aggregator, node_id: 2, sample: 56.952, missed_samples: 0 , time: 70546669 #
aggregator, node_id: 2, sample: 23.354, missed_samples: 0 , time: 75041530 #
aggregator, node_id: 2, sample: 64.139, missed_samples: 0 , time: 79599711 #
aggregator, node_id: 2, sample: 64.934, missed_samples: 0 , time: 84888984 #
aggregator, node_id: 2, sample: 83.741, missed_samples: 0 , time: 90545074 #
aggregator, node_id: 2, sample: 58.345, missed_samples: 0 , time: 94768021 #
aggregator, node_id: 2, sample: 71.385, missed_samples: 0 , time: 100322732 #
aggregator, node_id: 2, sample: 48.177, missed_samples: 0 , time: 105252436 #
aggregator, node_id: 2, sample: 49.389, missed_samples: 0 , time: 110037298 #
aggregator, node_id: 2, sample: 65.468, missed_samples: 0 , time: 115814962 #
aggregator, node_id: 2, sample: 56.414, missed_samples: 0 , time: 119835798 #
aggregator, node_id: 2, sample: 55.073, missed_samples: 0 , time: 124088399 #
aggregator, node_id: 2, sample: 40.935, missed_samples: 0 , time: 128830505 #
aggregator, node_id: 2, sample: 54.250, missed_samples: 0 , time: 134533633 #
aggregator, node_id: 2, sample: 53.896, missed_samples: 0 , time: 139455566 #
aggregator, node_id: 2, sample: 27.610, missed_samples: 1 , time: 144916522 #
aggregator, node_id: 2, sample: 46.309, missed_samples: 0 , time: 149406168 #
aggregator, node_id: 2, sample: 59.895, missed_samples: 0 , time: 154560335 #
aggregator, node_id: 2, sample: 50.405, missed_samples: 0 , time: 159705567 #
aggregator, node_id: 2, sample: 90.788, missed_samples: 0 , time: 165228964 #
aggregator, node_id: 2, sample: 19.001, missed_samples: 0 , time: 169908670 #
aggregator, node_id: 2, sample: 37.196, missed_samples: 0 , time: 174406156 #
aggregator, node_id: 2, sample: 41.287, missed_samples: 0 , time: 178932100 #
aggregator, node_id: 2, sample: 60.371, missed_samples: 0 , time: 184354004 #
aggregator, node_id: 2, sample: 51.749, missed_samples: 0 , time: 190049439 #
aggregator, node_id: 2, sample: 51.816, missed_samples: 0 , time: 195202998 #
aggregator, node_id: 2, sample: 77.044, missed_samples: 0 , time: 200494561 #
aggregator, node_id: 2, sample: 59.293, missed_samples: 0 , time: 205619629 #
aggregator, node_id: 2, sample: 24.891, missed_samples: 0 , time: 211562236 #
aggregator, node_id: 2, sample: 53.774, missed_samples: 1 , time: 216846193 #
aggregator, node_id: 2, sample: 43.105, missed_samples: 0 , time: 222260253 #
aggregator, node_id: 2, sample: 28.912, missed_samples: 0 , time: 227963382 #
aggregator, node_id: 2, sample: 32.890, missed_samples: 0 , time: 232564945 #
aggregator, node_id: 2, sample: 47.605, missed_samples: 0 , time: 237768066 #
aggregator, node_id: 2, sample: 53.980, missed_samples: 0 , time: 242705550 #
aggregator, node_id: 2, sample: 59.835, missed_samples: 0 , time: 247304673 #
aggregator, node_id: 2, sample: 38.292, missed_samples: 0 , time: 251963374 #
aggregator, node_id: 2, sample: 46.964, missed_samples: 0 , time: 256838395 #
aggregator, node_id: 2, sample: 34.711, missed_samples: 0 , time: 261533645 #
aggregator, node_id: 2, sample: 47.810, missed_samples: 0 , time: 266354003 #
aggregator, node_id: 2, sample: 64.528, missed_samples: 0 , time: 271734173 #
aggregator, node_id: 2, sample: 40.701, missed_samples: 0 , time: 277229029 #
aggregator, node_id: 2, sample: 69.817, missed_samples: 1 , time: 282564886 #
aggregator, node_id: 2, sample: 44.247, missed_samples: 0 , time: 287651702 #
aggregator, node_id: 2, sample: 53.190, missed_samples: 0 , time: 293654063 #
aggregator, node_id: 2, sample: 49.137, missed_samples: 0 , time: 297997836 #
aggregator, node_id: 2, sample: 63.881, missed_samples: 0 , time: 303169719 #
aggregator, node_id: 2, sample: 44.140, missed_samples: 1 , time: 308748107 #
aggregator, node_id: 2, sample: 28.724, missed_samples: 1 , time: 314296766 #
aggregator, node_id: 2, sample: 28.558, missed_samples: 0 , time: 319497850 #
aggregator, node_id: 2, sample: 12.582, missed_samples: 0 , time: 323583249 #
aggregator, node_id: 2, sample: 33.017, missed_samples: 0 , time: 328729579 #
aggregator, node_id: 2, sample: 16.309, missed_samples: 0 , time: 333794711 #
aggregator, node_id: 2, sample: 40.575, missed_samples: 0 , time: 338786895 #
aggregator, node_id: 2, sample: 30.192, missed_samples: 0 , time: 344701105 #
aggregator, node_id: 2, sample: 34.474, missed_samples: 0 , time: 348903936 #
aggregator, node_id: 2, sample: 16.477, missed_samples: 0 , time: 354232267 #
aggregator, node_id: 2, sample: 84.543, missed_samples: 0 , time: 358622825 #
aggregator, node_id: 2, sample: 31.913, missed_samples: 1 , time: 364271405 #
aggregator, node_id: 2, sample: 78.218, missed_samples: 0 , time: 368791554 #
aggregator, node_id: 2, sample: 37.399, missed_samples: 0 , time: 374505744 #
aggregator, node_id: 2, sample: 63.472, missed_samples: 0 , time: 380388518 #
aggregator, node_id: 2, sample: 51.109, missed_samples: 0 , time: 385185319 #
aggregator, node_id: 2, sample: 31.891, missed_samples: 1 , time: 390904211 #
aggregator, node_id: 2, sample: 58.264, missed_samples: 1 , time: 396614956 #
aggregator, node_id: 2, sample: 75.613, missed_samples: 1 , time: 402036865 #
aggregator, node_id: 2, sample: 41.192, missed_samples: 0 , time: 407122806 #
aggregator, node_id: 2, sample: 33.127, missed_samples: 0 , time: 412279054 #
aggregator, node_id: 2, sample: 79.597, missed_samples: 0 , time: 417630624 #
aggregator, node_id: 2, sample: 72.983, missed_samples: 0 , time: 422831241 #
aggregator, node_id: 2, sample: 54.385, missed_samples: 0 , time: 428346847 #
aggregator, node_id: 2, sample: 65.824, missed_samples: 0 , time: 433044650 #
aggregator, node_id: 2, sample: 32.597, missed_samples: 0 , time: 437568006 #
aggregator, node_id: 2, sample: 10.685, missed_samples: 0 , time: 443435478 #
aggregator, node_id: 2, sample: 77.747, missed_samples: 0 , time: 448872783 #
aggregator, node_id: 2, sample: 59.504, missed_samples: 0 , time: 453052486 #
aggregator, node_id: 2, sample: 61.082, missed_samples: 0 , time: 457904023 #
aggregator, node_id: 2, sample: 41.290, missed_samples: 1 , time: 463794693 #
aggregator, node_id: 2, sample: 73.699, missed_samples: 1 , time: 468927581 #
aggregator, node_id: 2, sample: 16.591, missed_samples: 0 , time: 474870177 #
aggregator, node_id: 2, sample: 15.732, missed_samples: 0 , time: 479950957 #
aggregator, node_id: 2, sample: 53.288, missed_samples: 0 , time: 484689941 #
aggregator, node_id: 2, sample: 40.576, missed_samples: 0 , time: 490479004 #
aggregator, node_id: 2, sample: 80.306, missed_samples: 0 , time: 495783584 #
aggregator, node_id: 2, sample: 68.262, missed_samples: 0 , time: 500236816 #
aggregator, node_id: 2, sample: 34.216, missed_samples: 0 , time: 505994639 #
aggregator, node_id: 2, sample: 25.385, missed_samples: 1 , time: 511905853 #
aggregator, node_id: 2, sample: 56.584, missed_samples: 0 , time: 516713459 #
aggregator, node_id: 2, sample: 71.578, missed_samples: 0 , time: 522455550 #
aggregator, node_id: 2, sample: 64.134, missed_samples: 0 , time: 528111804 #
aggregator, node_id: 2, sample: 72.505, missed_samples: 0 , time: 533533691 #
aggregator, node_id: 2, sample: 50.206, missed_samples: 0 , time: 538650944 #
aggregator, node_id: 2, sample: 40.676, missed_samples: 0 , time: 543772810 #
aggregator, node_id: 2, sample: 90.798, missed_samples: 0 , time: 549147917 #
aggregator, node_id: 2, sample: 52.055, missed_samples: 0 , time: 554358858 #
aggregator, node_id: 2, sample: 47.642, missed_samples: 0 , time: 559671182 #
aggregator, node_id: 2, sample: 41.599, missed_samples: 0 , time: 565570051 #
aggregator, node_id: 2, sample: 36.276, missed_samples: 0 , time: 571549341 #
aggregator, node_id: 2, sample: 57.748, missed_samples: 0 , time: 576135238 #
aggregator, node_id: 2, sample: 50.889, missed_samples: 0 , time: 580533691 #
aggregator, node_id: 2, sample: 83.079, missed_samples: 0 , time: 585572655 #
aggregator, node_id: 2, sample: 46.058, missed_samples: 0 , time: 589971135 #
aggregator, node_id: 2, sample: 63.287, missed_samples: 0 , time: 595814941 #
aggregator, node_id: 2, sample: 69.091, missed_samples: 0 , time: 600135217 #
aggregator, node_id: 2, sample: 32.603, missed_samples: 0 , time: 605697946 #
aggregator, node_id: 2, sample: 63.151, missed_samples: 0 , time: 611397628 #
aggregator, node_id: 2, sample: 74.037, missed_samples: 0 , time: 615689828 #
aggregator, node_id: 2, sample: 66.253, missed_samples: 0 , time: 620827392 #
aggregator, node_id: 2, sample: 87.755, missed_samples: 0 , time: 625283662 #
aggregator, node_id: 2, sample: 54.561, missed_samples: 0 , time: 630244622 #
aggregator, node_id: 2, sample: 66.182, missed_samples: 0 , time: 634244690 #
aggregator, node_id: 2, sample: 53.070, missed_samples: 0 , time: 638838322 #
aggregator, node_id: 2, sample: 53.342, missed_samples: 0 , time: 643799320 #
aggregator, node_id: 2, sample: 34.693, missed_samples: 0 , time: 648900901 #
aggregator, node_id: 2, sample: 63.790, missed_samples: 0 , time: 653221138 #
aggregator, node_id: 2, sample: 50.552, missed_samples: 0 , time: 658697754 #
aggregator, node_id: 2, sample: 81.935, missed_samples: 0 , time: 664663715 #
aggregator, node_id: 2, sample: 55.480, missed_samples: 0 , time: 669627435 #
aggregator, node_id: 2, sample: 74.658, missed_samples: 0 , time: 674799316 #
aggregator, node_id: 2, sample: 67.444, missed_samples: 0 , time: 679740305 #
aggregator, node_id: 2, sample: 32.681, missed_samples: 0 , time: 684365416 #
aggregator, node_id: 2, sample: 41.962, missed_samples: 0 , time: 688877465 #
aggregator, node_id: 2, sample: 58.203, missed_samples: 0 , time: 694327633 #
aggregator, node_id: 2, sample: 34.712, missed_samples: 0 , time: 699135364 #
aggregator, node_id: 2, sample: 36.932, missed_samples: 0 , time: 704060723 #
aggregator, node_id: 2, sample: 59.387, missed_samples: 0 , time: 709229004 #
aggregator, node_id: 2, sample: 46.160, missed_samples: 0 , time: 713904469 #
aggregator, node_id: 2, sample: 38.948, missed_samples: 0 , time: 719646742 #
aggregator, node_id: 2, sample: 34.703, missed_samples: 0 , time: 723912406 #
aggregator, node_id: 2, sample: 19.386, missed_samples: 0 , time: 728912382 #
aggregator, node_id: 2, sample: 55.299, missed_samples: 0 , time: 734232643 #
aggregator, node_id: 2, sample: 34.975, missed_samples: 0 , time: 738373315 #
aggregator, node_id: 2, sample: 53.881, missed_samples: 1 , time: 744162429 #
aggregator, node_id: 2, sample: 73.733, missed_samples: 0 , time: 748643086 #
aggregator, node_id: 2, sample: 54.292, missed_samples: 0 , time: 753596216 #
aggregator, node_id: 2, sample: 77.732, missed_samples: 0 , time: 758432129 #
aggregator, node_id: 2, sample: 37.012, missed_samples: 0 , time: 762924288 #
aggregator, node_id: 2, sample: 49.437, missed_samples: 0 , time: 768072697 #
aggregator, node_id: 2, sample: 39.635, missed_samples: 0 , time: 773494635 #
aggregator, node_id: 2, sample: 48.870, missed_samples: 0 , time: 778338406 #
aggregator, node_id: 2, sample: 43.765, missed_samples: 0 , time: 783674430 #
aggregator, node_id: 2, sample: 80.689, missed_samples: 0 , time: 788713379 #
aggregator, node_id: 2, sample: 51.809, missed_samples: 0 , time: 792768084 #
aggregator, node_id: 2, sample: 40.710, missed_samples: 0 , time: 798439966 #
aggregator, node_id: 2, sample: 59.472, missed_samples: 0 , time: 803271328 #
aggregator, node_id: 2, sample: 61.827, missed_samples: 0 , time: 808752445 #
aggregator, node_id: 2, sample: 23.738, missed_samples: 0 , time: 812966667 #
aggregator, node_id: 2, sample: 59.308, missed_samples: 0 , time: 818247967 #
aggregator, node_id: 2, sample: 50.403, missed_samples: 0 , time: 823575967 #
aggregator, node_id: 2, sample: 31.932, missed_samples: 0 , time: 829458801 #
aggregator, node_id: 2, sample: 66.179, missed_samples: 0 , time: 835411967 #
aggregator, node_id: 2, sample: 44.891, missed_samples: 0 , time: 841279073 #
aggregator, node_id: 2, sample: 96.559, missed_samples: 0 , time: 846771034 #
aggregator, node_id: 2, sample: 39.693, missed_samples: 0 , time: 851768494 #
aggregator, node_id: 2, sample: 69.865, missed_samples: 0 , time: 856193066 #
aggregator, node_id: 2, sample: 57.046, missed_samples: 0 , time: 862052415 #
aggregator, node_id: 2, sample: 51.449, missed_samples: 0 , time: 866372827 #
aggregator, node_id: 2, sample: 57.642, missed_samples: 0 , time: 870409082 #
aggregator, node_id: 2, sample: 39.490, missed_samples: 0 , time: 876177676 #
aggregator, node_id: 2, sample: 37.992, missed_samples: 0 , time: 880427524 #
aggregator, node_id: 2, sample: 56.688, missed_samples: 0 , time: 886096191 #
aggregator, node_id: 2, sample: 58.841, missed_samples: 0 , time: 890763472 #
aggregator, node_id: 2, sample: 33.834, missed_samples: 0 , time: 894919716 #
aggregator, node_id: 2, sample: 46.185, missed_samples: 1 , time: 900271644 #
aggregator, node_id: 2, sample: 16.870, missed_samples: 0 , time: 904799430 #
aggregator, node_id: 2, sample: 29.787, missed_samples: 1 , time: 909718177 #
aggregator, node_id: 2, sample: 30.816, missed_samples: 0 , time: 915189964 #
aggregator, node_id: 2, sample: 61.055, missed_samples: 0 , time: 919682066 #
aggregator, node_id: 2, sample: 87.447, missed_samples: 0 , time: 924783642 #
aggregator, node_id: 2, sample: 35.289, missed_samples: 0 , time: 930341553 #
aggregator, node_id: 2, sample: 32.068, missed_samples: 0 , time: 935752442 #
aggregator, node_id: 2, sample: 87.877, missed_samples: 0 , time: 940450895 #
aggregator, node_id: 2, sample: 31.302, missed_samples: 0 , time: 945193559 #
aggregator, node_id: 2, sample: 24.354, missed_samples: 0 , time: 950912095 #
aggregator, node_id: 2, sample: 41.213, missed_samples: 0 , time: 956709159 #
aggregator, node_id: 2, sample: 60.001, missed_samples: 0 , time: 961123058 #
aggregator, node_id: 2, sample: 77.357, missed_samples: 0 , time: 965768066 #
aggregator, node_id: 2, sample: 47.782, missed_samples: 0 , time: 971635254 #
aggregator, node_id: 2, sample: 43.806, missed_samples: 0 , time: 976791498 #
aggregator, node_id: 2, sample: 46.819, missed_samples: 0 , time: 982752441 #
aggregator, node_id: 2, sample: 41.013, missed_samples: 0 , time: 987979030 #
aggregator, node_id: 2, sample: 55.811, missed_samples: 0 , time: 993432126 #
aggregator, node_id: 2, sample: 43.602, missed_samples: 0 , time: 997697696 #
aggregator, node_id: 2, sample: 74.364, missed_samples: 0 , time: 1002924127 #
aggregator, node_id: 2, sample: 44.727, missed_samples: 0 , time: 1008150879 #
aggregator, node_id: 2, sample: 29.544, missed_samples: 0 , time: 1013088378 #
aggregator, node_id: 2, sample: 40.317, missed_samples: 0 , time: 1017682229 #
aggregator, node_id: 2, sample: 53.487, missed_samples: 0 , time: 1022322731 #
aggregator, node_id: 2, sample: 30.292, missed_samples: 0 , time: 1027179207 #
aggregator, node_id: 2, sample: 78.272, missed_samples: 0 , time: 1031932114 #
aggregator, node_id: 2, sample: 26.327, missed_samples: 0 , time: 1036908709 #
aggregator, node_id: 2, sample: 44.589, missed_samples: 0 , time: 1041080567 #
aggregator, node_id: 2, sample: 44.870, missed_samples: 0 , time: 1046557128 #
aggregator, node_id: 2, sample: 53.872, missed_samples: 0 , time: 1051893131 #
aggregator, node_id: 2, sample: 75.798, missed_samples: 0 , time: 1056877440 #
aggregator, node_id: 2, sample: 30.763, missed_samples: 0 , time: 1062541504 #
